date,store_nbr,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD
2017-03-25,1,5.0,0.0,4.0,2356.0,0.0,465.903,25.0,690.0,943.0,149.002,168.0,118.0,2853.0,15.0,1.0,21.0,14.0,0.0,208.0,11.0,15.0,7.0,140.0,8.0,274.622,172.0,8.0,15.0,279.871,99.00299999999999,2564.385,0.0,37.283
2017-03-26,1,5.0,0.0,0.0,1110.0,0.0,216.93400000000003,2.0,275.0,399.0,63.731,99.0,37.0,1330.0,11.0,0.0,13.0,2.0,3.0,86.0,11.0,12.0,3.0,39.0,7.0,97.512,84.0,6.0,3.0,157.796,23.0,1192.8619,1.0,16.902
2017-03-27,1,6.0,0.0,0.0,2388.0,1.0,447.837,12.0,668.0,855.0,147.98,169.0,120.831,2830.0,17.0,0.0,6.0,25.0,0.0,233.0,19.0,21.0,20.0,71.0,6.0,306.909,153.0,4.0,13.0,311.058,110.274,2815.8759999999997,0.0,33.669000000000004
2017-03-28,1,4.0,0.0,1.0,2184.0,0.0,416.425,20.0,674.0,805.0,163.049,125.0,95.0,2937.0,14.0,0.0,6.0,26.0,0.0,178.0,10.0,18.0,13.0,161.0,4.0,318.93298,147.0,7.0,7.0,293.925,97.75,2009.6170000000002,2.0,21.656999999999996
2017-03-29,1,2.0,0.0,3.0,2450.0,1.0,464.37699999999995,15.0,818.0,956.0,139.192,183.0,165.43400000000003,3104.0,25.0,0.0,22.0,15.0,1.0,220.0,15.0,20.0,6.0,135.0,18.0,299.498,183.0,4.0,5.0,377.49699999999996,149.328,4538.985,0.0,34.074
2017-03-30,1,3.0,0.0,2.0,1971.0,0.0,453.80199999999996,17.0,666.0,756.0,185.202,131.0,87.0,2557.0,24.0,0.0,20.0,27.0,0.0,174.0,21.0,18.0,14.0,130.0,9.0,304.513,108.0,8.0,6.0,241.084,79.535,2221.972,1.0,29.3
2017-03-31,1,5.0,0.0,7.0,2351.0,1.0,463.54,29.0,772.0,949.0,237.304,193.0,114.26899999999999,3185.0,32.0,5.0,20.0,22.0,0.0,164.0,16.0,35.0,18.0,65.0,14.0,641.7409700000001,137.0,7.0,6.0,471.648,123.214005,3183.4640000000004,0.0,52.199
2017-04-01,1,9.0,0.0,1.0,3229.0,0.0,526.249,14.0,858.0,1151.0,243.27200000000002,231.0,132.0,3912.0,18.0,2.0,18.0,22.0,0.0,260.0,13.0,28.0,5.0,0.0,5.0,377.37199999999996,263.0,8.0,6.0,375.509,129.543,3209.022,0.0,48.369
2017-04-02,1,4.0,0.0,1.0,1210.0,0.0,180.33900000000003,3.0,281.0,446.0,86.64200000000001,84.0,51.0,1482.0,10.0,2.0,7.0,2.0,2.0,88.0,2.0,10.0,0.0,0.0,3.0,111.819,79.0,2.0,3.0,124.212,48.412003000000006,1186.1849,0.0,12.073
2017-04-03,1,11.0,0.0,2.0,2097.0,0.0,444.85699999999997,11.0,801.0,794.0,166.12,113.0,134.773,2886.0,23.0,2.0,4.0,19.0,0.0,209.0,17.0,22.0,10.0,113.0,0.0,216.484,170.0,10.0,9.0,359.98502,53.513999999999996,2442.746,2.0,22.888
2017-04-04,1,3.0,0.0,4.0,2249.0,1.0,403.819,19.0,673.0,725.0,149.078,142.0,83.0,2785.0,32.0,2.0,16.0,21.0,0.0,210.0,29.0,14.0,11.0,84.0,4.0,337.462,178.0,4.0,11.0,286.512,68.415,2445.951,3.0,34.373000000000005
2017-04-05,1,5.0,0.0,1.0,2687.0,2.0,499.385,18.0,1057.0,1074.0,216.743,178.0,114.0,3492.0,46.0,6.0,13.0,34.0,2.0,249.0,21.0,17.0,15.0,140.0,2.0,327.654,196.0,8.0,16.0,400.015,106.64200000000001,4556.5779999999995,0.0,39.153
2017-04-06,1,10.0,0.0,5.0,2164.0,1.0,376.694,19.0,756.0,690.0,118.80799999999999,135.0,136.25799999999998,2461.0,13.0,9.0,21.0,30.0,0.0,167.0,7.0,26.0,8.0,90.0,6.0,322.112,163.0,4.0,8.0,302.63599999999997,132.634,2284.208,1.0,19.717001
2017-04-07,1,9.0,0.0,2.0,2527.0,0.0,382.20300000000003,28.0,776.0,943.0,209.33,179.0,131.0,3054.0,34.0,1.0,35.0,13.0,0.0,175.0,15.0,23.0,6.0,151.0,7.0,666.137,138.0,7.0,13.0,513.98,125.334,2765.0490000000004,0.0,85.444
2017-04-08,1,8.0,0.0,2.0,2729.0,0.0,463.815,11.0,657.0,897.0,181.827,163.0,82.0,3174.0,20.0,3.0,39.0,22.0,0.0,181.0,24.0,19.0,7.0,181.0,5.0,501.245,138.0,12.0,9.0,285.58,113.667,2546.769,2.0,31.465
2017-04-09,1,2.0,0.0,0.0,1175.0,0.0,190.93,3.0,251.0,393.0,83.34700000000001,91.0,42.0,1394.0,6.0,2.0,5.0,18.0,0.0,90.0,8.0,8.0,3.0,58.0,0.0,107.984,87.0,1.0,5.0,147.171,41.453,1394.9920000000002,0.0,13.269
2017-04-10,1,5.0,0.0,2.0,2033.0,1.0,334.55699999999996,16.0,560.0,744.0,127.76100000000001,155.0,101.569,2437.0,27.0,2.0,7.0,20.0,0.0,171.0,23.0,29.0,16.0,54.0,2.0,331.98900000000003,113.0,5.0,7.0,293.177,108.069,2471.813,0.0,23.494
2017-04-11,1,6.0,0.0,5.0,2116.0,0.0,371.559,22.0,769.0,724.0,143.269,137.0,86.0,2674.0,24.0,1.0,17.0,23.0,0.0,185.0,11.0,5.0,12.0,91.0,15.0,249.95,158.0,9.0,8.0,257.358,74.931,2252.322,0.0,16.0
2017-04-12,1,3.0,0.0,2.0,2457.0,1.0,417.58398,10.0,773.0,955.0,114.306,168.0,163.94400000000002,3374.0,16.0,2.0,16.0,15.0,2.0,184.0,5.0,33.0,11.0,114.0,25.0,193.187,145.0,8.0,9.0,343.44800000000004,137.66699,4268.642,1.0,66.326004
2017-04-13,1,9.0,0.0,0.0,2599.0,0.0,364.597,25.0,574.0,913.0,140.374,144.0,148.07299999999998,2931.0,20.0,2.0,42.0,21.0,1.0,161.0,10.0,23.0,6.0,143.0,17.0,231.898,131.0,3.0,11.0,326.453,195.322,2170.4,1.0,30.758999
2017-04-14,1,1.0,0.0,1.0,817.0,0.0,156.08100000000002,7.0,184.0,357.0,34.385,69.0,36.0,790.0,3.0,1.0,5.0,3.0,0.0,44.0,2.0,16.0,4.0,54.0,9.0,357.44300000000004,30.0,2.0,3.0,135.791,69.876,984.6039999999999,0.0,16.723
2017-04-15,1,3.0,0.0,1.0,1946.0,0.0,351.967,4.0,429.0,563.0,101.421,141.0,82.0,2030.0,13.0,2.0,19.0,17.0,1.0,116.0,10.0,16.0,7.0,116.0,4.0,112.28399999999999,103.0,6.0,4.0,187.368,78.37,1743.254,1.0,21.206999999999997
2017-04-16,1,1.0,0.0,0.0,1114.0,0.0,154.388,7.0,228.0,324.0,57.565,62.0,40.0,1185.0,6.0,2.0,5.0,8.0,0.0,90.0,3.0,7.0,2.0,28.0,2.0,92.18799999999999,41.0,3.0,3.0,93.54,37.266999999999996,1083.279,0.0,16.191
2017-04-17,1,1.0,0.0,3.0,2731.0,0.0,464.106,14.0,851.0,774.0,177.245,154.0,73.0,3641.0,14.0,2.0,42.0,26.0,0.0,209.0,25.0,16.0,10.0,75.0,8.0,283.699,149.0,4.0,14.0,345.281,53.420998,2776.914,0.0,21.583000000000002
2017-04-18,1,3.0,0.0,3.0,2102.0,1.0,307.66700000000003,12.0,661.0,691.0,146.82299999999998,123.0,159.33499,2579.0,15.0,3.0,16.0,12.0,1.0,178.0,11.0,15.0,3.0,57.0,3.0,303.303,161.0,4.0,8.0,369.244,68.15899999999999,2371.995,1.0,20.934
2017-04-19,1,4.0,0.0,1.0,2426.0,0.0,413.586,18.0,794.0,801.0,162.371,170.0,114.0,2972.0,22.0,2.0,8.0,18.0,1.0,197.0,18.0,26.0,16.0,121.0,9.0,241.91,141.0,4.0,8.0,367.941,67.643,4234.829000000001,2.0,18.434
2017-04-20,1,2.0,0.0,2.0,1948.0,0.0,420.87699999999995,20.0,696.0,666.0,93.429,103.0,120.054,2546.0,17.0,2.0,36.0,30.0,1.0,122.0,11.0,23.0,14.0,84.0,6.0,335.495,131.0,3.0,7.0,264.397,83.921,2236.143,0.0,24.589000000000002
2017-04-21,1,5.0,0.0,2.0,2600.0,1.0,376.189,24.0,871.0,1078.0,191.298,164.0,145.97,3112.0,13.0,7.0,49.0,18.0,0.0,190.0,23.0,13.0,6.0,156.0,22.0,659.54297,177.0,3.0,5.0,490.74300000000005,115.132,2736.322,0.0,41.827
2017-04-22,1,5.0,0.0,6.0,2785.0,1.0,440.086,22.0,701.0,884.0,167.87900000000002,166.0,135.0,2824.0,10.0,0.0,21.0,18.0,0.0,174.0,28.0,25.0,22.0,164.0,13.0,292.12,183.0,3.0,9.0,292.14799999999997,45.666000000000004,2530.416,0.0,28.166999999999998
